method_id,measurement_type,stop_id,time,value,trip_id,line_id
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,08:52:00,0.0,L14_T001,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,06:22:00,0.0,L14_T002,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,08:03:00,0.0,L14_T003,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,07:35:00,0.0,L14_T004,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,06:39:00,0.0,L14_T005,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,06:49:00,0.0,L14_T006,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,06:59:00,0.0,L14_T007,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,07:09:00,0.0,L14_T008,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,07:18:00,0.0,L14_T009,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,08:23:00,0.0,L14_T010,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,08:13:00,0.0,L14_T011,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,07:27:00,0.0,L14_T012,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,07:54:00,0.0,L14_T013,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,07:45:00,0.0,L14_T014,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,08:32:00,0.0,L14_T017,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,08:42:00,0.0,L14_T018,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,06:13:00,0.0,L14_T019,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,08:47:00,0.0,L14_T020,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,07:04:00,0.0,L14_T021,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,08:28:00,0.0,L14_T022,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,08:56:00,0.0,L14_T023,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,07:13:00,0.0,L14_T024,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,07:22:00,0.0,L14_T025,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,08:18:00,0.0,L14_T026,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,08:08:00,0.0,L14_T027,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,07:58:00,0.0,L14_T028,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,07:49:00,0.0,L14_T029,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,07:31:00,0.0,L14_T030,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,07:40:00,0.0,L14_T031,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,06:44:00,0.0,L14_T032,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,06:54:00,0.0,L14_T033,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,06:34:00,0.0,L14_T034,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,08:37:00,0.0,L14_T035,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,07:07:00,0.0,L14_T036,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,07:15:00,0.0,L14_T037,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,07:33:00,0.0,L14_T038,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,07:20:00,0.0,L14_T039,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,07:58:00,0.0,L14_T040,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,09:14:00,0.0,L14_T041,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,08:56:00,0.0,L14_T042,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,07:01:00,0.0,L14_T043,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,07:48:00,0.0,L14_T044,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,08:07:00,0.0,L14_T045,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,09:41:00,0.0,L14_T046,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,09:32:00,0.0,L14_T047,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,08:46:00,0.0,L14_T048,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,09:05:00,0.0,L14_T049,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,08:27:00,0.0,L14_T050,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,08:17:00,0.0,L14_T051,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,08:37:00,0.0,L14_T052,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,09:23:00,0.0,L14_T053,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,07:36:00,0.0,L14_T054,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,07:22:00,0.0,L14_T055,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,07:53:00,0.0,L14_T056,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,09:46:00,0.0,L14_T057,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,09:37:00,0.0,L14_T058,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,09:28:00,0.0,L14_T059,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,08:22:00,0.0,L14_T060,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,08:32:00,0.0,L14_T061,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,07:41:00,0.0,L14_T063,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,08:02:00,0.0,L14_T064,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,09:10:00,0.0,L14_T065,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,08:12:00,0.0,L14_T066,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,08:41:00,0.0,L14_T067,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,08:51:00,0.0,L14_T068,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,09:00:00,0.0,L14_T069,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,07:12:00,0.0,L14_T070,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,07:30:00,0.0,L14_T071,
synthetic_all_stop_counts,alighting,BERNEX_HAINARD,09:19:00,0.0,L14_T072,
synthetic_all_stop_counts,alighting,BERNEX_LUCHEPELET,08:53:00,0.0,L14_T001,
synthetic_all_stop_counts,alighting,BERNEX_LUCHEPELET,06:24:00,0.0,L14_T002,
synthetic_all_stop_counts,alighting,BERNEX_LUCHEPELET,08:05:00,0.0,L14_T003,
synthetic_all_stop_counts,alighting,BERNEX_LUCHEPELET,07:37:00,0.0,L14_T004,
synthetic_all_stop_counts,alighting,BERNEX_LUCHEPELET,06:40:00,0.0,L14_T005,
synthetic_all_stop_counts,alighting,BERNEX_LUCHEPELET,06:50:00,0.0,L14_T006,
synthetic_all_stop_counts,alighting,BERNEX_LUCHEPELET,07:00:00,0.0,L14_T007,
synthetic_all_stop_counts,alighting,BERNEX_LUCHEPELET,07:10:00,0.0,L14_T008,
synthetic_all_stop_counts,alighting,BERNEX_LUCHEPELET,07:19:00,0.0,L14_T009,
synthetic_all_stop_counts,alighting,BERNEX_LUCHEPELET,08:24:00,0.0,L14_T010,
synthetic_all_stop_counts,alighting,BERNEX_LUCHEPELET,08:14:00,0.0,L14_T011,
synthetic_all_stop_counts,alighting,BERNEX_LUCHEPELET,07:28:00,0.0,L14_T012,
synthetic_all_stop_counts,alighting,BERNEX_LUCHEPELET,07:55:00,0.0,L14_T013,
synthetic_all_stop_counts,alighting,BERNEX_LUCHEPELET,07:46:00,0.0,L14_T014,
synthetic_all_stop_counts,alighting,BERNEX_LUCHEPELET,08:34:00,0.0,L14_T017,
