origin_stop_id,dest_stop_id,time_bin_id,true_flow,estimated_flow,error
BERNEX_VAILLY,GENEVE_SERVETTE,t0700,13.5,30.7743540110151,17.2743540110151
BERNEX_VAILLY,GENEVE_SERVETTE,t0730,24.0,7.683850639534958,-16.31614936046504
BERNEX_VAILLY,GENEVE_SERVETTE,t0800,40.5,27.77740314161664,-12.722596858383358
BERNEX_VAILLY,GENEVE_SERVETTE,t0830,20.25,36.037801075067165,15.787801075067165
BERNEX_VAILLY,MEYRIN_GRAVIERE,t0700,35.70000076293945,17.179138809486048,-18.520861953453405
BERNEX_VAILLY,MEYRIN_GRAVIERE,t0730,21.25,38.723021611454385,17.473021611454385
BERNEX_VAILLY,MEYRIN_GRAVIERE,t0800,13.600000381469727,27.19920864949013,13.599208268020405
BERNEX_VAILLY,MEYRIN_GRAVIERE,t0830,32.29999923706055,19.142235589932415,-13.157763647128132
CAROUGE_GE_MARCHE,VERNIER_AVANCHETS_ETANG,t0700,13.300000190734863,13.1889068847611,-0.11109330597376399
CAROUGE_GE_MARCHE,VERNIER_AVANCHETS_ETANG,t0730,43.70000076293945,41.17926704662449,-2.5207337163149646
CAROUGE_GE_MARCHE,VERNIER_AVANCHETS_ETANG,t0800,29.450000762939453,28.325457435956707,-1.1245433269827458
CAROUGE_GE_MARCHE,VERNIER_AVANCHETS_ETANG,t0830,19.0,20.37078055491987,1.3707805549198717
CHENE_BOUGERIES_GRANGE_CANAL,GENEVE_BLANCHE,t0700,36.75,37.037192263387276,0.28719226338727566
CHENE_BOUGERIES_GRANGE_CANAL,GENEVE_BLANCHE,t0730,18.899999618530273,20.32795408911558,1.4279544705853056
CHENE_BOUGERIES_GRANGE_CANAL,GENEVE_BLANCHE,t0800,46.20000076293945,42.28733483401506,-3.9126659289243904
CHENE_BOUGERIES_GRANGE_CANAL,GENEVE_BLANCHE,t0830,25.200000762939453,27.35515094932064,2.1551501863811886
GENEVE_AUGUSTINS,MEYRIN_CERN,t0700,20.700000762939453,21.355342535699187,0.6553417727597335
GENEVE_AUGUSTINS,MEYRIN_CERN,t0730,36.79999923706055,35.0961677143638,-1.7038315226967455
GENEVE_AUGUSTINS,MEYRIN_CERN,t0800,62.099998474121094,60.74590059792424,-1.3540978761968532
GENEVE_AUGUSTINS,MEYRIN_CERN,t0830,31.049999237060547,30.367972892633315,-0.6820263444272321
GENEVE_BLANCHE,CHENE_BOUGERIES_GRANGE_CANAL,t0700,52.5,50.78698244319936,-1.7130175568006365
GENEVE_BLANCHE,CHENE_BOUGERIES_GRANGE_CANAL,t0730,31.25,31.42030853956262,0.17030853956261893
GENEVE_BLANCHE,CHENE_BOUGERIES_GRANGE_CANAL,t0800,20.0,20.42078038640266,0.4207803864026616
GENEVE_BLANCHE,CHENE_BOUGERIES_GRANGE_CANAL,t0830,47.5,48.634959914976974,1.1349599149769745
GENEVE_EAUX_VIVES_GARE,LANCY_BACHET_GARE,t0700,10.5,11.22517950775737,0.7251795077573693
GENEVE_EAUX_VIVES_GARE,LANCY_BACHET_GARE,t0730,34.5,32.45121588992742,-2.0487841100725817
GENEVE_EAUX_VIVES_GARE,LANCY_BACHET_GARE,t0800,23.25,19.865988836546805,-3.384011163453195
GENEVE_EAUX_VIVES_GARE,LANCY_BACHET_GARE,t0830,15.0,16.223839420180568,1.2238394201805676
GENEVE_PONT_D_ARVE,THONEX_MOILLESULAZ,t0700,29.75,30.66978363729746,0.9197836372974599
GENEVE_PONT_D_ARVE,THONEX_MOILLESULAZ,t0730,15.300000190734863,16.744096149027474,1.4440959582926105
GENEVE_PONT_D_ARVE,THONEX_MOILLESULAZ,t0800,37.400001525878906,36.76854524360139,-0.6314562822775187
GENEVE_PONT_D_ARVE,THONEX_MOILLESULAZ,t0830,20.399999618530273,19.206392433875212,-1.193607184655061
GENEVE_POTERIE,BERNEX_VAILLY,t0700,17.100000381469727,16.698354820327648,-0.40164556114207883
GENEVE_POTERIE,BERNEX_VAILLY,t0730,30.399999618530273,30.179094834805102,-0.22090478372517097
GENEVE_POTERIE,BERNEX_VAILLY,t0800,51.29999923706055,49.928050571725045,-1.371948665335502
GENEVE_POTERIE,BERNEX_VAILLY,t0830,25.649999618530273,22.732004755340427,-2.917994863189847
GENEVE_VIEUSSEUX,GRAND_LANCY_PALETTES,t0700,44.099998474121094,43.87116600341098,-0.2288324707101168
GENEVE_VIEUSSEUX,GRAND_LANCY_PALETTES,t0730,26.25,26.23574484198258,-0.014255158017419944
GENEVE_VIEUSSEUX,GRAND_LANCY_PALETTES,t0800,16.799999237060547,16.72034924651846,-0.07964999054208732
GENEVE_VIEUSSEUX,GRAND_LANCY_PALETTES,t0830,39.900001525878906,38.89809338798521,-1.0019081378936932
GRAND_LANCY_PALETTES,GENEVE_VIEUSSEUX,t0700,16.100000381469727,51.11239017379065,35.012389792320924
GRAND_LANCY_PALETTES,GENEVE_VIEUSSEUX,t0730,52.900001525878906,17.526582670071573,-35.37341885580733
GRAND_LANCY_PALETTES,GENEVE_VIEUSSEUX,t0800,35.650001525878906,20.11470358276398,-15.535297943114927
GRAND_LANCY_PALETTES,GENEVE_VIEUSSEUX,t0830,23.0,34.953520400604944,11.953520400604944
GRAND_LANCY_PALETTES,MEYRIN_CERN,t0700,43.75,10.593364757713225,-33.156635242286775
GRAND_LANCY_PALETTES,MEYRIN_CERN,t0730,22.5,54.98983316374261,32.48983316374261
GRAND_LANCY_PALETTES,MEYRIN_CERN,t0800,55.0,70.97198167070296,15.97198167070296
GRAND_LANCY_PALETTES,MEYRIN_CERN,t0830,30.0,20.56766990655578,-9.432330093444222
LANCY_BACHET_GARE,GENEVE_EAUX_VIVES_GARE,t0700,13.5,39.165971401214144,25.665971401214144
LANCY_BACHET_GARE,GENEVE_EAUX_VIVES_GARE,t0730,24.0,12.767546345853635,-11.232453654146365
LANCY_BACHET_GARE,GENEVE_EAUX_VIVES_GARE,t0800,40.5,17.961815123145872,-22.538184876854128
