origin_stop_id,dest_stop_id,time_bin_id,flow
BERNEX_HAINARD,BERNEX_LUCHEPELET,t0700,0.0
BERNEX_HAINARD,BERNEX_LUCHEPELET,t0730,0.0
BERNEX_HAINARD,BERNEX_LUCHEPELET,t0800,0.0
BERNEX_HAINARD,BERNEX_LUCHEPELET,t0830,0.0
BERNEX_HAINARD,BERNEX_PRE_MARAIS,t0700,0.0
BERNEX_HAINARD,BERNEX_PRE_MARAIS,t0730,0.0
BERNEX_HAINARD,BERNEX_PRE_MARAIS,t0800,0.0
BERNEX_HAINARD,BERNEX_PRE_MARAIS,t0830,0.0
BERNEX_HAINARD,BERNEX_P_R,t0700,0.0
BERNEX_HAINARD,BERNEX_P_R,t0730,0.0
BERNEX_HAINARD,BERNEX_P_R,t0800,0.0
BERNEX_HAINARD,BERNEX_P_R,t0830,0.0
BERNEX_HAINARD,BERNEX_VAILLY,t0700,0.0
BERNEX_HAINARD,BERNEX_VAILLY,t0730,0.0
BERNEX_HAINARD,BERNEX_VAILLY,t0800,0.0
BERNEX_HAINARD,BERNEX_VAILLY,t0830,0.0
BERNEX_HAINARD,CAROUGE_GE_ANCIENNE,t0700,0.0
BERNEX_HAINARD,CAROUGE_GE_ANCIENNE,t0730,0.0
BERNEX_HAINARD,CAROUGE_GE_ANCIENNE,t0800,0.0
BERNEX_HAINARD,CAROUGE_GE_ANCIENNE,t0830,0.0
BERNEX_HAINARD,CAROUGE_GE_ARMES,t0700,0.0
BERNEX_HAINARD,CAROUGE_GE_ARMES,t0730,0.0
BERNEX_HAINARD,CAROUGE_GE_ARMES,t0800,0.0
BERNEX_HAINARD,CAROUGE_GE_ARMES,t0830,0.0
BERNEX_HAINARD,CAROUGE_GE_MARCHE,t0700,0.0
BERNEX_HAINARD,CAROUGE_GE_MARCHE,t0730,0.0
BERNEX_HAINARD,CAROUGE_GE_MARCHE,t0800,0.0
BERNEX_HAINARD,CAROUGE_GE_MARCHE,t0830,0.0
BERNEX_HAINARD,CAROUGE_GE_RONDEAU,t0700,0.0
BERNEX_HAINARD,CAROUGE_GE_RONDEAU,t0730,0.0
BERNEX_HAINARD,CAROUGE_GE_RONDEAU,t0800,0.0
BERNEX_HAINARD,CAROUGE_GE_RONDEAU,t0830,0.0
BERNEX_HAINARD,CHENE_BOUGERIES_GRANGETTES,t0700,0.0
BERNEX_HAINARD,CHENE_BOUGERIES_GRANGETTES,t0730,0.0
BERNEX_HAINARD,CHENE_BOUGERIES_GRANGETTES,t0800,0.0
BERNEX_HAINARD,CHENE_BOUGERIES_GRANGETTES,t0830,0.0
BERNEX_HAINARD,CHENE_BOUGERIES_GRANGE_CANAL,t0700,0.0
BERNEX_HAINARD,CHENE_BOUGERIES_GRANGE_CANAL,t0730,0.0
BERNEX_HAINARD,CHENE_BOUGERIES_GRANGE_CANAL,t0800,0.0
BERNEX_HAINARD,CHENE_BOUGERIES_GRANGE_CANAL,t0830,0.0
BERNEX_HAINARD,CHENE_BOUGERIES_GRANGE_FALQUET,t0700,0.0
BERNEX_HAINARD,CHENE_BOUGERIES_GRANGE_FALQUET,t0730,0.0
BERNEX_HAINARD,CHENE_BOUGERIES_GRANGE_FALQUET,t0800,0.0
BERNEX_HAINARD,CHENE_BOUGERIES_GRANGE_FALQUET,t0830,0.0
BERNEX_HAINARD,CHENE_BOURG_PEILLONNEX,t0700,0.0
BERNEX_HAINARD,CHENE_BOURG_PEILLONNEX,t0730,0.0
BERNEX_HAINARD,CHENE_BOURG_PEILLONNEX,t0800,0.0
BERNEX_HAINARD,CHENE_BOURG_PEILLONNEX,t0830,0.0
BERNEX_HAINARD,CHENE_BOURG_PLACE_FAVRE,t0700,0.0
BERNEX_HAINARD,CHENE_BOURG_PLACE_FAVRE,t0730,0.0
BERNEX_HAINARD,CHENE_BOURG_PLACE_FAVRE,t0800,0.0
BERNEX_HAINARD,CHENE_BOURG_PLACE_FAVRE,t0830,0.0
BERNEX_HAINARD,CONFIGNON_CROISEE,t0700,0.0
BERNEX_HAINARD,CONFIGNON_CROISEE,t0730,0.0
BERNEX_HAINARD,CONFIGNON_CROISEE,t0800,0.0
BERNEX_HAINARD,CONFIGNON_CROISEE,t0830,0.0
BERNEX_HAINARD,CONFIGNON_LA_DODE,t0700,0.0
BERNEX_HAINARD,CONFIGNON_LA_DODE,t0730,0.0
BERNEX_HAINARD,CONFIGNON_LA_DODE,t0800,0.0
BERNEX_HAINARD,CONFIGNON_LA_DODE,t0830,0.0
BERNEX_HAINARD,GENEVE_AMANDOLIER,t0700,0.0
BERNEX_HAINARD,GENEVE_AMANDOLIER,t0730,0.0
BERNEX_HAINARD,GENEVE_AMANDOLIER,t0800,0.0
BERNEX_HAINARD,GENEVE_AMANDOLIER,t0830,0.0
BERNEX_HAINARD,GENEVE_AUGUSTINS,t0700,0.0
BERNEX_HAINARD,GENEVE_AUGUSTINS,t0730,0.0
BERNEX_HAINARD,GENEVE_AUGUSTINS,t0800,0.0
BERNEX_HAINARD,GENEVE_AUGUSTINS,t0830,0.0
BERNEX_HAINARD,GENEVE_BEL_AIR,t0700,0.0
BERNEX_HAINARD,GENEVE_BEL_AIR,t0730,0.0
BERNEX_HAINARD,GENEVE_BEL_AIR,t0800,0.0
BERNEX_HAINARD,GENEVE_BEL_AIR,t0830,0.0
BERNEX_HAINARD,GENEVE_BLANCHE,t0700,0.0
BERNEX_HAINARD,GENEVE_BLANCHE,t0730,0.0
BERNEX_HAINARD,GENEVE_BLANCHE,t0800,0.0
BERNEX_HAINARD,GENEVE_BLANCHE,t0830,0.0
BERNEX_HAINARD,GENEVE_COUTANCE,t0700,0.0
BERNEX_HAINARD,GENEVE_COUTANCE,t0730,0.0
BERNEX_HAINARD,GENEVE_COUTANCE,t0800,0.0
BERNEX_HAINARD,GENEVE_COUTANCE,t0830,0.0
BERNEX_HAINARD,GENEVE_EAUX_VIVES_GARE,t0700,0.0
BERNEX_HAINARD,GENEVE_EAUX_VIVES_GARE,t0730,0.0
BERNEX_HAINARD,GENEVE_EAUX_VIVES_GARE,t0800,0.0
BERNEX_HAINARD,GENEVE_EAUX_VIVES_GARE,t0830,0.0
